Rk 	Player 	Pos 	Age 	Tm 	G 	MP 	PER 	TS% 	3PAr 	FTr 	ORB% 	DRB% 	TRB% 	AST% 	STL% 	BLK% 	TOV% 	USG% 	  	OWS 	DWS 	WS 	WS/48 	  	OBPM 	DBPM 	BPM 	VORP
76	Devonte' Graham	PG	26	NOP	6	60	11.3	.558	.778	.444	3.7	14.7	8.9	9.4	0.9	1.4	15.7	18.3		0.1	0.0	0.1	.050		-0.2	-1.0	-1.1	0.0
77	Danny Green	SF	34	PHI	6	188	8.8	.509	.830	.000	5.1	9.6	7.5	5.5	1.7	1.0	8.6	14.5		0.0	0.2	0.2	.055		0.0	0.2	0.2	0.1
78	Draymond Green	PF	31	GSW	5	164	16.5	.611	.324	.353	0.8	19.0	10.2	29.5	2.1	4.6	16.9	13.0		0.4	0.2	0.6	.168		0.7	3.8	4.5	0.3
79	JaMychal Green	PF	31	DEN	5	69	6.6	.524	.313	.438	5.2	16.7	10.8	3.9	0.0	1.5	9.5	13.3		0.0	0.0	0.0	.016		-4.4	-2.7	-7.1	-0.1
80	Javonte Green	SF	28	CHI	5	72	4.1	.196	.353	.118	10.3	10.6	10.4	3.9	6.0	0.0	18.3	13.3		-0.3	0.2	-0.1	-0.071		-7.8	1.5	-6.3	-0.1
81	Jeff Green	C	35	DEN	5	113	7.5	.495	.471	.294	7.4	12.4	9.9	2.3	1.3	1.9	9.4	8.2		0.1	0.0	0.0	.017		-1.4	-1.9	-3.3	0.0
82	Josh Green	SG	21	DAL	6	68	5.6	.351	.826	.261	1.7	8.6	5.1	15.6	3.1	0.0	0.0	18.3		-0.1	0.1	0.0	-0.006		-5.4	1.2	-4.2	0.0
83	Blake Griffin	PF	32	BRK	2	25	15.2	.508	.714	.286	10.4	10.5	10.4	21.7	2.0	3.9	11.3	16.3		0.1	0.0	0.1	.099		2.9	1.0	3.9	0.0
84	James Harden	SG	32	PHI	6	243	19.5	.582	.430	.544	3.3	11.1	7.6	38.6	1.3	2.6	17.7	23.0		0.7	0.3	0.9	.185		4.4	0.5	4.8	0.4
85	Tobias Harris	PF	29	PHI	6	245	16.9	.637	.390	.208	2.8	23.8	14.3	11.2	0.9	2.6	10.6	18.1		0.5	0.4	0.8	.158		1.9	1.4	3.3	0.3
86	Jaxson Hayes	C	21	NOP	6	83	11.7	.586	.120	.440	5.3	16.7	10.7	1.9	0.0	2.1	11.8	17.5		0.1	0.0	0.1	.046		-3.0	-1.9	-4.9	-0.1
87	Juancho Hernangómez	PF	26	UTA	6	56	7.1	.389	.667	.000	4.2	20.7	12.5	14.0	1.9	0.0	10.0	16.7		-0.1	0.1	0.0	-0.023		-0.5	0.9	0.4	0.0
